Word,Count,InferredValence,ValenceCategory
absorbed,3,0.517950248,1
acceptance,1,0.857163679,1
accomplished,13,0.872793535,1
activated,2,0.71976152,1
active,7,0.516666405,1
admiration,2,0.890436901,1
affable,1,0.763632487,1
affectionate,2,0.855649843,1
amazed,4,0.728134143,1
amused,228,0.841095009,1
amusement,3,0.886675518,1
analytical,1,0.622996708,1
animated,4,0.7905689,1
anticipating,1,0.580701005,1
anticipation,6,0.576475483,1
anticipatory,4,0.568788131,1
appreciation,1,0.899956442,1
appreciative,5,0.885835103,1
aroused,5,0.725951115,1
astonished,1,0.659612578,1
attentive,6,0.692278219,1
avoiding,1,0.50272794,1
awake,1,0.610542016,1
aware,1,0.651195862,1
awe,3,0.657406624,1
better,1,0.792243389,1
blessed,2,0.904277142,1
blissful,4,0.900227994,1
blithe,1,0.515670291,1
bouncy,1,0.645925745,1
breath,1,0.705367136,1
calm,547,0.838175618,1
calmness,1,0.851150022,1
care,1,0.727557434,1
chatty,3,0.661549489,1
cheerful,1,0.941563877,1
chill,9,0.606445838,1
chuffed,1,0.737485252,1
closeness,1,0.78242493,1
comfortable,4,0.719564819,1
comforted,1,0.85832411,1
companionable,1,0.720433973,1
competent,1,0.686955103,1
complacent,1,0.506594722,1
comradery,1,0.831348108,1
concentrated,3,0.698371179,1
concentrating,3,0.704728886,1
concentration,2,0.711133508,1
conciliatory,1,0.683736168,1
confidence,1,0.784717166,1
confident,12,0.699077148,1
considerate,1,0.643840973,1
content,159,0.91440677,1
contented,5,0.907926045,1
coordinated,1,0.564759665,1
curiosity,1,0.59807116,1
curious,59,0.660724215,1
cuteness,1,0.906282066,1
deliberate,5,0.579531348,1
delighted,3,0.904933312,1
desirous,2,0.713524488,1
determined,13,0.735685784,1
diligence,1,0.711592531,1
diligent,1,0.710682649,1
directed,1,0.581060784,1
done,1,0.599495145,1
dreaming,1,0.834060926,1
eager,14,0.55374086,1
ease,2,0.683397101,1
ecstatic,1,0.852683859,1
embodied,1,0.69184438,1
emotional,3,0.554330837,1
empathetic,5,0.692558059,1
empowered,1,0.82670629,1
encouraged,2,0.780024989,1
energetic,3,0.56420314,1
energized,9,0.797480097,1
engaged,26,0.864448515,1
engrossed,1,0.593839565,1
enjoy,1,0.936554567,1
enjoyment,2,0.946388931,1
entertained,25,0.87405503,1
enthralled,1,0.717245106,1
euphoric,1,0.79224191,1
excited,325,0.877860753,1
excitement,10,0.847702685,1
exciting,1,0.897359721,1
existentialist,1,0.512679464,1
fascinated,2,0.763607312,1
flattered,2,0.790645302,1
focus,17,0.583933759,1
focused,227,0.607413753,1
fresh,2,0.842283054,1
friendly,3,0.829378981,1
fulfilled,2,0.887166005,1
fulfillment,2,0.881026865,1
full,5,0.61182654,1
fun,1,0.946495976,1
funny,8,0.687315698,1
giddy,1,0.748692419,1
giggly,1,0.8911726,1
glad,8,0.880612727,1
good,5,0.935152947,1
grateful,42,0.924394191,1
great,1,0.902708617,1
happiness,6,0.959528137,1
happy,1213,0.966903189,1
healthy,2,0.802519944,1
helpful,3,0.846200085,1
hilarious,2,0.530421214,1
hopeful,10,0.892760575,1
hot,1,0.59049401,1
humored,1,0.870841739,1
impressed,6,0.775665066,1
industrious,4,0.676640999,1
informed,2,0.608068276,1
inspired,5,0.932313082,1
intellectual,1,0.844596078,1
intense,5,0.648092817,1
intent,3,0.570409449,1
interest,4,0.672590651,1
interested,54,0.629451434,1
intrigued,10,0.63998418,1
introspective,4,0.514261478,1
invested,1,0.654288215,1
involved,5,0.729103783,1
jovial,1,0.873557716,1
joy,6,0.932551711,1
joyful,2,0.933318133,1
joyous,1,0.914995548,1
laughing,3,0.87296166,1
longing,1,0.699943204,1
lovable,1,0.889980894,1
love,1,0.871815973,1
loved,4,0.917592898,1
loving,10,0.914064131,1
lucky,1,0.807228913,1
meticulous,1,0.519486522,1
mindful,3,0.713953041,1
mischievous,1,0.539413759,1
motivated,12,0.888365416,1
moved,2,0.664513043,1
neutral,515,0.50157052,1
none,2,0.508998738,1
nostalgia,2,0.596304324,1
nostalgic,19,0.606276749,1
okay,1,0.516385774,1
optimistic,3,0.636116065,1
organized,2,0.597647253,1
passionate,2,0.888545183,1
patient,3,0.502316573,1
peace,9,0.894411359,1
peaceful,46,0.869080138,1
pining,1,0.653645541,1
pleasant,13,0.965734463,1
pleased,12,0.923351374,1
positive,1,0.675996199,1
prepared,10,0.671775072,1
preparing,1,0.727021263,1
present,1,0.720660552,1
pride,1,0.803287301,1
proactive,1,0.717418897,1
productive,23,0.81797896,1
productivity,1,0.897574964,1
proud,62,0.686894336,1
pumped,2,0.680292277,1
ready,3,0.704920111,1
reassured,1,0.821294522,1
receptive,1,0.689918401,1
refreshed,4,0.785847864,1
regrouping,1,0.715215175,1
relax,7,0.886100808,1
relaxed,398,0.844717825,1
relaxing,43,0.871756746,1
relief,10,0.863968508,1
relieved,107,0.867519604,1
reminiscent,3,0.550188716,1
resourceful,1,0.778618587,1
responsible,1,0.567888906,1
restful,1,0.866692741,1
righteous,1,0.836002191,1
sated,1,0.85710408,1
satisfaction,3,0.897902007,1
satisfied,47,0.892424806,1
self-reflective,1,0.52130475,1
sensitive,1,0.635947658,1
serene,19,0.865100377,1
serious,15,0.51759053,1
sexual,1,0.701224221,1
sincere,7,0.854461912,1
smart,6,0.642670738,1
smug,1,0.5182901,1
social,4,0.667394439,1
soothed,1,0.810665186,1
spacey,1,0.579846964,1
stimulated,8,0.768657824,1
stocked,1,0.522515539,1
stress-free,1,0.517883568,1
studying,1,0.703803252,1
successful,3,0.931567122,1
surprise,2,0.721771489,1
surprised,60,0.712730484,1
sympathetic,8,0.631653083,1
sympathy,1,0.70379368,1
tender,1,0.653786154,1
thankful,5,0.91930662,1
thinking,1,0.741887942,1
thorough,1,0.57800007,1
thoughtful,6,0.735617248,1
thrifty,1,0.58527039,1
thrilled,3,0.868937173,1
tickled,1,0.714320954,1
touched,1,0.664435727,1
tranquil,2,0.854815045,1
trusting,1,0.664386202,1
unexcited,1,0.510413215,1
upbeat,1,0.822336223,1
victorious,1,0.794326389,1
wanting,1,0.744658185,1
warm,1,0.638779872,1
whole,1,0.812048633,1
willing,1,0.593397219,1
wondering,1,0.651676465,1
woolly,1,0.653195892,1
work,1,0.635182536,1
worked,1,0.672276774,1
